type,trade_id,product_id,time,side,price,last_size,sequence,best_bid,best_ask,high_24h,low_24h,volume_24h,volume_30d,open_24h
ticker,,BTC-USD,,,6448.25000000,,6096061493,6448.24,6448.25,6694.56000000,6448.24000000,7246.09685892,239234.80829194,6641.00000000
ticker,44878241,BTC-USD,2018-06-15T20:31:03.161000Z,sell,6448.24000000,0.20000000,6096061883,6448.24,6448.25,6694.56000000,6448.24000000,7246.29685892,239235.00829194,6641.00000000
ticker,44878242,BTC-USD,2018-06-15T20:31:06.044000Z,sell,6448.24000000,0.04880000,6096062209,6448.24,6448.25,6694.56000000,6448.24000000,7246.34565892,239235.05709194,6641.00000000
ticker,44878243,BTC-USD,2018-06-15T20:31:06.044000Z,sell,6448.24000000,0.15120000,6096062211,6448.24,6448.25,6694.56000000,6448.24000000,7246.49685892,239235.20829194,6641.00000000
ticker,44878244,BTC-USD,2018-06-15T20:31:07.262000Z,sell,6448.24000000,0.20000000,6096062373,6448.24,6448.25,6694.56000000,6448.24000000,7246.69685892,239235.40829194,6641.00000000
ticker,44878245,BTC-USD,2018-06-15T20:31:07.787000Z,sell,6448.24000000,0.34880000,6096062468,6448.24,6448.25,6694.56000000,6448.24000000,7247.04565892,239235.75709194,6641.00000000
ticker,44878249,BTC-USD,2018-06-15T20:31:07.787000Z,sell,6448.24000000,0.00894942,6096062476,6448.24,6448.25,6694.56000000,6448.24000000,7247.05460834,239235.76604136,6641.00000000
ticker,44878252,BTC-USD,2018-06-15T20:31:08.152000Z,sell,6448.24000000,0.10000000,6096062556,6448.23,6448.24,6694.56000000,6448.24000000,7247.15460834,239235.86604136,6641.00000000
ticker,44878253,BTC-USD,2018-06-15T20:31:09.470000Z,sell,6448.23000000,0.04700000,6096062884,6448.23,6448.24,6694.56000000,6448.23000000,7247.20160834,239235.91304136,6641.00000000
ticker,44878254,BTC-USD,2018-06-15T20:31:10.001000Z,sell,6448.23000000,0.00371607,6096063093,6448.23,6448.24,6694.56000000,6448.23000000,7247.20532441,239235.91675743,6641.00000000
ticker,44878260,BTC-USD,2018-06-15T20:31:10.001000Z,sell,6448.22000000,0.00371050,6096063105,6448.21,6448.24,6694.56000000,6448.22000000,7247.20903491,239235.92046793,6641.00000000
ticker,44878265,BTC-USD,2018-06-15T20:31:10.001000Z,sell,6445.00000000,0.78764144,6096063115,6445,6448.24,6694.56000000,6445.00000000,7247.99667635,239236.70810937,6641.00000000
ticker,44878266,BTC-USD,2018-06-15T20:31:10.369000Z,buy,6446.44000000,1.50000000,6096063352,6446.43,6446.44,6694.56000000,6445.00000000,7249.49667635,239238.20810937,6641.00000000
ticker,44878268,BTC-USD,2018-06-15T20:31:10.661000Z,buy,6446.44000000,0.43130000,6096063441,6446.43,6446.44,6694.56000000,6445.00000000,7249.92797635,239238.63940937,6641.00000000
